Date,Close,High,Low,Open,Volume
2020-12-03,18.84954833984375,18.88388345925657,17.424673627984024,17.802351755581967,36784
2020-12-04,18.69504737854004,19.810912693632275,18.02552720717142,18.83238459771481,35745
2020-12-07,18.643543243408203,18.677878364125792,17.716516267485996,17.716516267485996,20119
2020-12-08,19.12422752380371,19.43323546331553,18.317370094190164,18.54054349545301,12257
2020-12-09,21.029783248901367,21.029783248901367,19.12422796838893,19.69074444738422,57404
2020-12-10,21.32162475585937,22.918172051188343,19.982585986622524,21.02978274193497,66339
2020-12-11,20.39459800720215,21.012615533291097,19.982586323142847,19.982586323142847,17602
2020-12-14,19.67358016967773,20.53193881296701,19.45040672595982,20.08559192553118,36693
2020-12-15,20.686437606811523,21.029780636707788,19.45040106199627,19.65640687993403,33286
2020-12-16,20.15425682067871,21.149952531602267,20.10275577002788,20.66927223875373,17289
2020-12-17,20.20575523376465,20.96110981986577,19.81090956313857,20.34309243123758,30897
2020-12-18,20.411762237548828,20.54909944314673,19.742242132367583,20.03408410356029,10170
2020-12-21,20.085588455200195,20.39459803729508,19.46757092819934,20.20575975778648,14347
2020-12-22,20.669273376464844,20.94394784464022,20.154257930041524,20.171425493599727,29568
2020-12-23,21.287288665771484,21.458961008716734,20.686438739840693,20.70360630157298,48122
2020-12-24,21.613460540771484,21.785131204835103,21.098445274203826,21.287283495830327,33265
2020-12-25,23.759361267089844,23.759361267089844,21.61346522255049,21.61346522255049,117815
2020-12-28,26.12843132019043,26.12843132019043,23.776529395717784,23.776529395717784,118934
2020-12-29,28.73784065246582,28.73784065246582,24.89239517073904,27.896649760310996,129123
2020-12-30,25.93959045410156,30.81506810198372,25.92242453023562,28.58333428053816,124224
2020-12-31,26.609111785888672,26.609111785888672,23.519021057509,24.75505767629863,65636
2021-01-04,26.076929092407227,28.291493836562445,25.510412644171392,27.45030294520485,46487
2021-01-05,26.832284927368164,27.501805097373733,24.99539839675361,27.467469974055543,44543
2021-01-06,26.523277282714844,27.26146611550628,25.75075496131323,26.694949637332492,31044
